date,world,Belgium,Brazil,Finland,France,Swaziland,Sweden,Switzerland,Taiwan,uae,uk,us
2020/09/23,6065,1,836,0,78,2,1,3,0,0,37,926
2020/09/24,6365,8,869,2,43,2,0,0,0,1,37,1102
2020/09/25,5783,4,831,0,52,0,1,4,0,1,40,901
2020/09/26,5577,5,729,0,150,0,4,1,0,2,34,964
2020/09/27,5421,6,869,0,39,0,2,1,0,2,35,723
2020/09/28,3823,12,335,0,27,0,1,0,0,1,17,259
2020/09/29,3924,13,317,0,81,0,1,1,0,1,13,314
2020/09/30,6219,9,863,0,85,0,2,2,0,3,71,928
2020/10/01,6108,6,1031,1,63,1,4,1,0,3,71,930
2020/10/02,8772,15,728,0,63,2,1,1,0,2,59,880
2020/10/03,5535,11,708,1,136,0,3,0,0,3,66,908
2020/10/04,4723,15,599,0,43,0,3,0,0,2,49,678
2020/10/05,3966,14,365,0,32,0,3,0,0,0,33,400
2020/10/06,4453,14,323,1,69,1,2,3,0,3,19,398
2020/10/07,5618,18,819,0,66,0,4,0,0,6,76,717
2020/10/08,5852,20,734,0,80,1,3,0,0,1,70,892
2020/10/09,9119,20,729,0,76,0,1,4,0,2,77,972
2020/10/10,5749,19,682,0,109,0,5,3,0,4,87,1014
2020/10/11,4866,22,559,0,54,0,5,0,0,1,81,590
2020/10/12,3969,25,290,0,46,0,2,0,0,2,65,394
2020/10/13,3941,36,201,0,95,0,3,7,0,1,50,314
2020/10/14,5530,34,309,0,108,1,1,7,0,2,143,817
2020/10/15,6037,41,749,4,104,0,2,7,0,2,137,970
2020/10/16,6111,35,713,0,88,1,3,3,0,2,138,828
2020/10/17,5946,35,754,1,178,0,2,5,0,3,136,899
2020/10/18,5539,23,461,0,89,0,2,0,0,4,150,690
2020/10/19,3950,31,230,0,85,1,1,1,0,4,67,385
2020/10/20,4673,50,271,0,146,0,3,14,0,3,80,459
2020/10/21,6412,50,661,0,262,0,3,7,0,4,241,933
2020/10/22,6744,56,566,2,163,0,2,11,0,2,191,1135
2020/10/23,6366,54,497,0,162,0,6,11,0,2,189,841
2020/10/24,6334,95,571,0,298,0,2,10,0,1,224,953
2020/10/25,5789,88,432,0,137,0,3,0,0,0,174,904
2020/10/26,4441,94,231,0,116,0,2,0,0,2,151,331
2020/10/27,5462,119,263,1,257,0,4,37,0,3,102,505
2020/10/28,7300,122,549,0,523,0,0,16,0,2,367,988
2020/10/29,7176,,510,0,244,0,1,24,0,3,310,977
2020/10/30,6834,,513,0,235,1,,31,0,3,280,968
